"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36603.8292362755","38007.4685346784","38110.1471485565","38494.8334450376","39366.767069817","38550.6465738568","37654.4034535118","39251.6967728796","39194.2007322657","38908.6682123591","41016.4525802376","38929.7486642133","36822.875345117","36766.933487065","38981.4547770403","38948.3676640312","39044.5128078247","39591.9089034982","39502.9225603579","35315.9571673371","33943.2893208477","34980.5242521179","34328.1006558302","35561.2426244372","35457.9249743304","37276.7949360065","37868.701514865","38444.2381571851","","","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2849.88993789604","2764.98912845658","2626.40327891469","2534.88200725345","2512.50517800183","2553.76919425101","2624.76106186537","2641.90822469298","2619.9805231707","2622.65353025568","2637.68378284708","2662.39534336246","2692.6163067272","2704.6432227821","2784.00800112316","2888.27430779623","3010.14792274679","3146.33028671816","3216.19700148957","3178.58513503267","3258.41878640536","3322.82359259318","3377.86723075672","3446.30963321846","3508.4018969904","3533.09437455693","3530.42400103737","3553.5224118905","3562.9064774855","3552.35894670464","3371.81470437759",
"Afghanistan","AFG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1189.78466762807","1235.81006326541","1200.27801318798","1286.79365890779","1315.78911738615","1460.82575134365","1484.11446128908","1758.90447659462","1957.02906986023","1904.55992560934","2075.49161430253","2116.46525766073","2102.38460370831","2068.26590408304","2057.06797750297","2058.40022101943","2033.80438888741","2065.03623496547","1978.96157867341",
"Africa Western and Central","AFW","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2803.55241126851","2764.2766605523","2759.09076358354","2660.70286964328","2588.57480665459","2575.97970258697","2626.70915552116","2654.24859916442","2678.30295649301","2651.63536145584","2669.99340017546","2741.77078488063","2922.39947132993","3006.97423193216","3152.66848604787","3247.89617530717","3326.72197728169","3414.02601025146","3524.87436222495","3634.41490228093","3766.84310788499","3848.36610838725","3946.47031020139","4069.3607642175","4190.72016484746","4194.75420313375","4099.37027847874","4091.8354042818","4107.31385276373","4134.25322468321","3995.03992659778",
"Angola","AGO","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5783.42955231631","5649.78212964561","5148.25485731592","3788.5095556555","3717.36522903903","4139.64076955341","4551.6503810052","4728.1569239722","4792.68416271916","4740.66923573176","4727.96631394756","4766.83673589953","5240.8394329332","5218.20771212651","5593.24362419081","6210.2221878264","6681.10102767941","7341.86519904765","7864.37457862612","7643.49578596548","7692.43428623311","7675.44608452759","8036.69240208792","8140.52597328045","8239.8306720725","8036.41089824639","7568.99816818809","7310.89658895511","6933.49993413352","6670.33145836633","6198.08384070806",
"Albania","ALB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4827.31848375491","3496.58024610028","3265.01742857304","3599.02705819638","3921.85120713086","4471.87106998715","4909.22810492363","4400.57782736551","4819.38753360483","5475.16913542593","5893.13623256329","6441.85345238676","6754.53600301332","7154.78482512179","7580.62909108667","8040.87871678112","8569.19111251045","9150.51874704368","9912.57724242974","10313.926441304","10749.4874481658","11052.7904635136","11227.9944871972","11361.2936763788","11586.8637666424","11878.4880933446","12291.8733773928","12770.9750370811","13323.7533559132","13671.4884222978","13295.4108845409",
"Andorra","AND","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9391.567602858","9354.06145708355","9626.07952278725","9618.94978674391","9648.16818028864","9605.32288816081","9819.93410334912","9987.01621977616","10289.3545988854","10269.7455222901","10702.883119288","10651.790964342","10474.2686458386","10732.603449367","11412.7071556502","11758.2853206354","12157.0436075467","12417.4692610602","12836.8224809102","12643.4980452758","12918.707630906","13106.6612331502","13594.5475824069","13721.7559261727","13795.4256963644","14027.0615928599","14225.0199432739","14143.5815823093","14220.1829908491","14211.4150539886","13385.2365288385",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111454.055663076","106103.552653107","103470.924574274","98978.4746119566","100213.156223846","101570.992098053","102211.638841705","105108.996263054","100100.435655626","97698.5373932572","102494.714621415","98621.5363854602","95909.1453571449","97795.0272025738","97757.8551504351","90894.8988083534","86425.8972170075","76620.315063488","68798.4182632908","58374.6153346969","54921.7755764372","56123.4798828056","57390.7005222198","59921.7478314809","62378.6100488735","65218.8204352121","66510.9029866687","67183.6053123325","66968.2211786651","67119.1532453006","",
"Argentina","ARG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14144.7636701963","15221.7921466478","16209.325977232","17312.0345746893","18092.0208138979","17362.5218025837","18104.6978095103","19347.5370400947","19866.2450529814","18981.1683827459","18625.283553796","17610.7553863342","15523.0387763225","16714.6701331979","18032.6114274509","19426.4401435001","20777.6527103416","22424.1177287724","23103.4565215525","21519.8936160346","23521.2701751149","24647.6292739738","24118.8675159104","24424.1364465266","23550.0990599562","23933.8866121144","23189.5274451514","23597.1177528578","22759.3985583522","22063.9043717727","19686.5236589267",
