Country_A,Country
Angola,Angola
Benin,Benin
Burkina Faso,Burkina Faso
Botswana,Botswana
Cote d'Ivoire,Côte d'Ivoire
Cameroon,Cameroon
Democratic Republic of the Congo,Democratic Republic of the Congo
Republic of the Congo,Congo
Algeria,Algeria
Egypt,Egypt
Ethiopia,Ethiopia
Gabon,Gabon
Ghana,Ghana
Guinea,Guinea
Equatorial Guinea,Equatorial Guinea
Kenya,Kenya
Liberia,Liberia
Libya,Libya
Lesotho,Lesotho
Morocco,Morocco
Madagascar,Madagascar
Mali,Mali
Mozambique,Mozambique
Mauritania,Mauritania
Mauritius,Mauritius
Malawi,Malawi
Namibia,Namibia
Niger,Niger
Nigeria,Nigeria
Rwanda,Rwanda
Sudan,Sudan
Senegal,Senegal
South Sudan,South Sudan
Eswatini,Swaziland
Chad,Chad
Togo,Togo
Tunisia,Tunisia
Tanzania,United Republic of Tanzania
Uganda,Uganda
South Africa,South Africa
Zambia,Zambia
Zimbabwe,Zimbabwe
Afghanistan,Afghanistan
United Arab Emirates,United Arab Emirates
Armenia,Armenia
Azerbaijan,Azerbaijan
Bangladesh,Bangladesh
Bahrain,Bahrain
China,China
Cyprus,Cyprus
Georgia,Georgia
Hong Kong,"China, Hong Kong Special Administrative Region"
Indonesia,Indonesia
India,India
Iran,Iran
Iraq,Iraq
Israel,Israel
Jordan,Jordan
Japan,Japan
Kazakhstan,Kazakhstan
Kyrgyzstan,Kyrgyzstan
Cambodia,Cambodia
South Korea,Republic of Korea
Kuwait,Kuwait
Laos,Lao People's Dem. Rep.
Lebanon,Lebanon
Sri Lanka,Sri Lanka
Myanmar,Myanmar
Mongolia,Mongolia
Malaysia,Malaysia
Oman,Oman
Pakistan,Pakistan
Philippines,Philippines
Qatar,Qatar
Saudi Arabia,Saudi Arabia
Singapore,Singapore
Thailand,Thailand
Turkmenistan,Turkmenistan
Turkey,Turkey
Uzbekistan,Uzbekistan
Vietnam,Viet Nam
Chinese Taipei,#N/A
Yemen,Yemen
Albania,Albania
Austria,Austria
Belgium,Belgium
Bulgaria,Bulgaria
Bosnia and Herzegovina,Bosnia Herzegovina
Belarus,Belarus
Switzerland,Switzerland
Czechia,Czechia
Germany,Germany
Denmark,Denmark
Spain,Spain
Estonia,Estonia
Finland,Finland
France,France
United Kingdom,United Kingdom
Greece,Greece
Croatia,Croatia
Hungary,Hungary
Ireland,Ireland
Italy,Italy
Lithuania,Lithuania
Latvia,Latvia
Moldova,Republic of Moldova
North Macedonia,The Former Yugoslav Republic of Macedonia
Netherlands,Netherlands
Norway,Norway
Poland,Poland
Portugal,Portugal
Romania,Romania
Russia,Russian Federation
Serbia,Serbia
Slovakia,Slovakia
Slovenia,Slovenia
Sweden,Sweden
Ukraine,Ukraine
Canada,Canada
Costa Rica,Costa Rica
Cuba,Cuba
Dominican Republic,Dominican Republic
Guatemala,Guatemala
Honduras,Honduras
Haiti,Haiti
Jamaica,Jamaica
Mexico,Mexico
Nicaragua,Nicaragua
Panama,Panama
El Salvador,El Salvador
Trinidad and Tobago,Trinidad and Tobago
United States,"USA, Puerto Rico and US Virgin Islands"
Australia,Australia
New Zealand,New Zealand
Papua New Guinea,Papua New Guinea
Argentina,Argentina
Bolivia,Plurinational State of Bolivia
Brazil,Brazil
Chile,Chile
Colombia,Colombia
Ecuador,Ecuador
Peru,Peru
Paraguay,Paraguay
Uruguay,Uruguay
Venezuela,Venezuela
