Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,HS6 ID,HS6,Trade Value
1,Animal Products,101,Live animals,10101,Horses,1010111,"Horses, live pure-bred breeding",473
1,Animal Products,101,Live animals,10101,Horses,1010119,"Horses, live except pure-bred breeding",1970
1,Animal Products,101,Live animals,10103,Pigs,1010310,"Swine, live pure-bred breeding",460271
1,Animal Products,101,Live animals,10103,Pigs,1010391,"Swine, live except pure-bred breeding < 50 kg",405292
1,Animal Products,101,Live animals,10103,Pigs,1010392,"Swine, live except pure-bred breeding > 50 kg",115172
1,Animal Products,101,Live animals,10106,Other Animals,1010600,"Animals, live, except farm animals",7950053
1,Animal Products,102,Meat and edible meat offal,10201,Bovine Meat,1020130,"Bovine cuts boneless, fresh or chilled",19175
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,1020220,"Bovine cuts bone in, frozen",34064
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,1020230,"Bovine cuts boneless, frozen",2015786
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,1020311,"Swine carcasses and half carcasses, fresh or chilled",13890
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,1020312,"Swine hams, shoulders & cuts bone in, fresh or chille",3106
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,1020319,"Swine cuts, fresh or chilled, nes",35457
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,1020322,"Hams, shoulders and cuts, of swine, bone in, frozen",8845
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,1020329,"Swine cuts, frozen nes",178068
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,1020442,"Sheep cuts, bone in, frozen",643
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,1020450,"Goat meat, fresh, chilled or frozen",1779
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,1020610,"Bovine edible offal, fresh or chilled",2912
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,1020629,"Bovine edible offal, frozen except livers and tongues",104218
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,1020630,"Swine edible offal, fresh or chilled",2717
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,1020649,"Swine edible offal, frozen except livers",166656
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,1020690,"Sheep, goat, ass, mule, hinnie edible offal, frozen",1649
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,1020721,"Fowls, domestic, whole, frozen",30606
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,1020723,"Ducks, geese and guinea fowls, domestic, whole, froze",239981
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,1020739,"Poultry cuts & offal, except livers, fresh or chilled",2691
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,1020741,"Fowl cuts & offal, domestic, except livers, frozen",2523984
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,1020743,"Duck, goose, guinea fowl cuts, offal not liver, froze",624814
1,Animal Products,102,Meat and edible meat offal,10208,Other Meat,1020810,"Rabbit or hare meat, offal, fresh, chilled or frozen",167
1,Animal Products,102,Meat and edible meat offal,10208,Other Meat,1020890,"Meat and edible offal nes fresh, chilled or frozen",367366
1,Animal Products,102,Meat and edible meat offal,10209,Animal Fat,1020900,"Pig and poultry fat, unrendered",9
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,1021011,"Hams and shoulders, swine, salted, dried or smoked",53462
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,1021012,"Bellies (streaky) of swine, salted, dried or smoked",420
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,1021019,"Swine meat, salted/dried/smoked not ham/shoulder/bell",562806
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,1021020,"Bovine meat salted, dried or smoked",155923
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,1021090,"Meat and edible meat offal cured, flours, meals nes",483722
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,1030110,"Ornamental fish, live",5450838
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,1030191,"Trout, live",23226
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,1030192,"Eels, live",63792162
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,1030193,"Carp, live",9376
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,1030199,"Fish live, except trout, eel or carp",101856023
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,1030211,"Trout, fresh or chilled, whole",42
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,1030212,"Salmon fresh or chilled, whole",884
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,1030232,"Tuna(yellowfin) fresh or chilled, whole",25008446
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,1030239,"Tuna nes, fresh or chilled, whole",26433456
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,1030250,"Cod, fresh or chilled, whole",2701
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,1030261,"Sardines,brisling,sprats, fresh or chilled, whole",209975
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,1030264,"Mackerel, fresh or chilled, whole",57553
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,1030265,"Dogfish and other sharks, fresh or chilled, whole",32292
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,1030266,"Eels, fresh or chilled, whole",4157
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,1030269,"Fish nes, fresh or chilled, whole",43652605
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,1030270,"Fish livers and roes, fresh or chilled",70766
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030310,"Salmon, Pacific, frozen, whole",174049
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030321,"Trout, frozen, whole",92908
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030329,"Salmonidae, nes,frozen, whole",1230403
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030331,"Halibut, frozen, whole",2714000
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030332,"Plaice, frozen, whole",7910
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030339,"Flatfish except halibut, plaice or sole, frozen, whol",103296
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030341,"Tunas(albacore,longfin), frozen, whole",169496485
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030342,"Tunas(yellowfin) frozen, whole",163998430
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030343,"Skipjack,stripe-bellied bonito, frozen, whole",214650360
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030349,"Tunas nes, frozen, whole",226323408
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030350,"Herrings, frozen, whole",14249
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030360,"Cod, frozen, whole",9268
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030371,"Sardines,brisling,sprats, frozen, whole",822042
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030373,"Coalfish, frozen, whole",183
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030374,"Mackerel, frozen, whole",21120051
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030375,"Dogfish and other sharks, frozen, whole",19360498
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030376,"Eels, frozen, whole",595883
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030377,"Sea bass, frozen, whole",2162415
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030379,"Fish nes, frozen, whole",334733262
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,1030380,"Fish livers and roes, frozen",3041281
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,1030410,"Fish fillet or meat, fresh or chilled, not liver, roe",1334887
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,1030420,"Fish fillets, frozen",138723864
