Country_A,Country
Angola,Angola
Benin,Benin
Burkina Faso,Burkina Faso
Botswana,Botswana
Côte d'Ivoire,Côte d'Ivoire
Cameroon,Cameroon
Democratic Republic of the Congo,Democratic Republic of the Congo
Congo,Congo
Algeria,Algeria
Egypt,Egypt
Ethiopia,Ethiopia
Gabon,Gabon
Ghana,Ghana
Guinea,Guinea
Equatorial Guinea,Equatorial Guinea
Kenya,Kenya
Liberia,Liberia
Libya,Libya
Lesotho,Lesotho
Morocco,Morocco
Madagascar,Madagascar
Mali,Mali
Mozambique,Mozambique
Mauritania,Mauritania
Mauritius,Mauritius
Malawi,Malawi
Namibia,Namibia
Niger,Niger
Nigeria,Nigeria
Rwanda,Rwanda
Sudan,Sudan
Senegal,Senegal
South Sudan,South Sudan
Swaziland,Swaziland
Chad,Chad
Togo,Togo
Tunisia,Tunisia
United Republic of Tanzania,United Republic of Tanzania
Uganda,Uganda
South Africa,South Africa
Zambia,Zambia
Zimbabwe,Zimbabwe
Afghanistan,Afghanistan
United Arab Emirates,United Arab Emirates
Armenia,Armenia
Azerbaijan,Azerbaijan
Bangladesh,Bangladesh
Bahrain,Bahrain
China,China
Cyprus,Cyprus
Georgia,Georgia
"China, Hong Kong Special Administrative Region","China, Hong Kong Special Administrative Region"
Indonesia,Indonesia
India,India
Iran,Iran
Iraq,Iraq
Israel,Israel
Jordan,Jordan
Japan,Japan
Kazakhstan,Kazakhstan
Kyrgyzstan,Kyrgyzstan
Cambodia,Cambodia
Republic of Korea,Republic of Korea
Kuwait,Kuwait
Lao People's Dem. Rep.,Lao People's Dem. Rep.
Lebanon,Lebanon
Sri Lanka,Sri Lanka
Myanmar,Myanmar
Mongolia,Mongolia
Malaysia,Malaysia
Oman,Oman
Pakistan,Pakistan
Philippines,Philippines
Qatar,Qatar
Saudi Arabia,Saudi Arabia
Singapore,Singapore
Thailand,Thailand
Turkmenistan,Turkmenistan
Turkey,Turkey
Uzbekistan,Uzbekistan
Viet Nam,Viet Nam
Chinese Taipei,
Yemen,Yemen
Albania,Albania
Austria,Austria
Belgium,Belgium
Bulgaria,Bulgaria
Bosnia Herzegovina,Bosnia Herzegovina
Belarus,Belarus
"Switzerland, Liechtenstein","Switzerland, Liechtenstein"
Czechia,Czechia
Germany,Germany
Denmark,Denmark
Spain,Spain
Estonia,Estonia
Finland,Finland
"France, Monaco","France, Monaco"
United Kingdom,United Kingdom
Greece,Greece
Croatia,Croatia
Hungary,Hungary
Ireland,Ireland
Italy,Italy
Lithuania,Lithuania
Latvia,Latvia
Republic of Moldova,Republic of Moldova
The Former Yugoslav Republic of Macedonia,The Former Yugoslav Republic of Macedonia
Netherlands,Netherlands
"Norway, Svalbard and Jan Mayen","Norway, Svalbard and Jan Mayen"
Poland,Poland
Portugal,Portugal
Romania,Romania
Russian Federation,Russian Federation
Serbia,Serbia
Slovakia,Slovakia
Slovenia,Slovenia
Sweden,Sweden
Ukraine,Ukraine
Canada,Canada
Costa Rica,Costa Rica
Cuba,Cuba
Dominican Republic,Dominican Republic
Guatemala,Guatemala
Honduras,Honduras
Haiti,Haiti
Jamaica,Jamaica
Mexico,Mexico
Nicaragua,Nicaragua
Panama,Panama
El Salvador,El Salvador
Trinidad and Tobago,Trinidad and Tobago
"USA, Puerto Rico and US Virgin Islands","USA, Puerto Rico and US Virgin Islands"
Australia,Australia
New Zealand,New Zealand
Papua New Guinea,Papua New Guinea
Argentina,Argentina
Plurinational State of Bolivia,Plurinational State of Bolivia
Brazil,Brazil
Chile,Chile
Colombia,Colombia
Ecuador,Ecuador
Peru,Peru
Paraguay,Paraguay
Uruguay,Uruguay
Venezuela,Venezuela
