"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","HS4","HS4 ID"
-0.1765893103,-0.2241615764,-0.0489167656,0.0069272921,-0.2079315881,-0.0739526916,-0.2679565449,-0.2575416836,-0.1501729562,0.0054307443,-0.4882303337,-0.5222788047,-0.412866511,-0.1925927489,-0.5339109363,-0.5177938805,-0.7544136625,-0.343459866,-0.2272219425,-0.1303549057,-0.6757172318,-0.5153890323,-0.654756393,-0.5788482821,-0.5937772906,"Horses","0101"
-0.7841379241,-1.06155148,-1.095876215,-1.1267348336,-0.9718875103,-0.9380123234,-1.0942080256,-0.9432768652,-1.1656633736,-1.1107516263,-0.9767429907,-0.914089531,-0.7634163576,-0.7634227927,-0.7672048307,-0.6990875536,-0.9171698831,-0.9767558627,-0.9360321552,-1.0046449885,-0.8573584934,-0.9429087271,-0.9665217695,-0.6964046551,-0.7700107237,"Bovine","0102"
-0.0900663286,0.2255443984,0.1852828731,0.1739796425,-0.0021651554,0.0570889539,-0.164802596,-0.022094774,0.4375361012,0.5178351785,0.5298005405,0.5501409395,0.7356961048,0.7684750111,0.6211490023,0.6247077736,0.5356074826,0.7153978955,0.6652091268,0.6143700979,0.6548881068,0.4381377178,0.4291734737,0.496171717,0.5249165124,"Pigs","0103"
-1.1727910392,-1.3984337033,-1.5106420104,-1.3561859259,-1.3466536645,-1.4358434648,-1.5613082708,-1.8006353381,-1.8587181409,-1.9439510147,-2.0535540048,-1.9463948554,-1.6081297272,-1.5989712283,-1.7141027083,-1.6970443396,-1.7864073784,-1.7086775333,-1.6987943862,-1.6712272204,-1.5862570339,-1.8074564084,-1.8158004402,-1.8004597751,-1.8337995505,"Sheep and Goats","0104"
-0.3158462103,-0.31913627,-0.2011995593,-0.3032781839,-0.1417926581,-0.2459675505,-0.4932068817,-0.4489523614,-0.7008266036,-0.7451162291,-0.8354404898,-0.6273658767,-0.050628778,0.044095544,0.0526838049,-0.1058035124,0.0054785322,-0.2228058775,0.0558761024,-0.0109808349,-0.1077639513,-0.1860989979,-0.1687439971,-0.1775743439,-0.0185803325,"Poultry","0105"
,,,,,,,,,-1.7468908666,-1.7526173313,-1.8069007274,-1.728080889,-1.6759113643,-1.7824809642,-1.5365580906,-1.6085820614,-1.7280843566,-1.7897472473,-1.6182625659,-1.6684797201,-1.6051792473,-1.6227350362,-1.6327148989,-1.5473445412,"Other Animals","0106"
-0.2828800669,-0.3023035471,-0.4013053034,-0.4800237647,-0.2069817854,-0.4300734073,-0.5175489635,-0.4179073459,-0.1091060221,0.0348783357,-0.1724064742,-0.1960011923,-0.1479358112,-0.1837322197,-0.3331900735,-0.1114488509,-0.1893376879,-0.1723163782,-0.1560475142,-0.4073357381,-0.3504080911,-0.4853865104,-0.4150183193,-0.5423658803,-0.4701804664,"Bovine Meat","0201"
-0.8390996167,-0.9276136472,-0.9121838108,-0.9203034123,-0.8321138581,-0.9756968917,-0.942576006,-1.1662689111,-1.0611507062,-1.0801199106,-1.1709839539,-1.2787042764,-1.2687969996,-1.2994998639,-1.1343103799,-1.0649582886,-1.3507966113,-1.1182050087,-1.0318575054,-0.868610878,-0.8689239423,-0.9897819234,-1.0061192931,-0.7953599661,-0.7325762125,"Frozen Bovine Meat","0202"
0.7027570999,0.695975644,0.5688405981,0.6467565325,0.6177882483,0.4937559817,0.4959467569,0.7605202002,0.7210686424,0.5969236501,0.7017724201,0.8861786942,0.9025310446,1.0027258252,0.9146922338,0.9488988409,0.9150973293,0.881504747,0.8388016037,0.648578109,0.6116424038,0.6331904344,0.816221371,0.8293793113,0.8395665793,"Pig Meat","0203"
-0.7588269481,-1.0097801865,-0.9224756008,-1.0563719415,-0.8793898537,-0.9744465699,-1.1366260554,-1.193585033,-1.1782128073,-0.8229204118,-1.0737612811,-1.259912223,-1.1603445146,-1.1965284644,-1.1702275127,-1.3132289725,-1.6251542267,-1.6638125947,-1.638416254,-1.5428823302,-1.4550961485,-1.4838330051,-1.5709120523,-1.623126337,-1.7157580885,"Sheep and Goat Meat","0204"
,,,,,,,,,,,,,-0.4108292141,-0.4110891048,-0.3468314119,-0.0986474142,-0.1103067836,-0.109961462,-0.1611982766,,,,,,"Horse Meat","0205"
