year,location_code,hs_product_code,normalized_distance,normalized_pci,product_status,rank,hs4_desc,hs2_code,hs2_desc
1995,DOM,0106,2.7695683734657592,-1.957262497029376,NA,12,"Animals, n.e.s. in chapter 01; live",01,Animals; live
1996,DOM,0106,2.7108080680456403,-2.0736355369569037,NA,16,"Animals, n.e.s. in chapter 01; live",01,Animals; live
1997,DOM,0106,2.735370153005053,-1.7925391954908687,NA,13,"Animals, n.e.s. in chapter 01; live",01,Animals; live
1998,DOM,0106,2.460025765065832,-1.9368673306815485,NA,21,"Animals, n.e.s. in chapter 01; live",01,Animals; live
1999,DOM,0106,2.43658066918077,-1.9456626041191063,NA,21,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2000,DOM,0106,2.3340298399370263,-1.7705194143438097,NA,27,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2001,DOM,0106,2.654939961819046,-2.131827706117342,NA,14,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2002,DOM,0106,2.6238087299560315,-1.947377518532699,NA,13,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2003,DOM,0106,2.510396910561846,-1.8142522228302576,NA,19,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2004,DOM,0106,2.622419255577866,-1.9101007573578064,NA,15,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2005,DOM,0106,2.6557151846272973,-1.8724498934188711,NA,13,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2006,DOM,0106,2.1724764245594046,-1.880084027635665,NA,31,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2008,DOM,0106,2.3191107253970142,-1.6700012340508483,NA,23,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2010,DOM,0106,2.210321364321116,-1.7142810721667514,NA,24,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2011,DOM,0106,2.465151292645395,-1.9345765304495028,NA,10,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2012,DOM,0106,2.22435015874912,-1.8576570371857823,absent,29,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2013,DOM,0106,2.5310549041336943,-1.5536313694388966,absent,14,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2014,DOM,0106,2.5674706780000736,-1.6025851714858113,absent,16,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2015,DOM,0106,2.5724383232335524,-1.7922714475590933,absent,15,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2016,DOM,0106,2.2699760347925517,-1.504864256980154,absent,26,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2017,DOM,0106,2.3642028962836283,-1.3854506761129717,absent,27,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2018,DOM,0106,2.318235143701631,-1.6235200474107954,absent,27,"Animals, n.e.s. in chapter 01; live",01,Animals; live
2019,DOM,0106,2.302895953075607,-1.3330308687530434,absent,29,"Animals, n.e.s. in chapter 01; live",01,Animals; live
1995,DOM,0301,2.588106776297951,-1.8294575480713196,NA,18,Fish; live,03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
1996,DOM,0301,2.4077561277361936,-1.8589959424967744,NA,26,Fish; live,03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
1998,DOM,0301,2.43597759154767,-1.9646477170340664,NA,26,Fish; live,03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
2002,DOM,0301,2.2756614913178903,-1.4956816179771728,NA,31,Fish; live,03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
2003,DOM,0301,1.9990086017913191,-1.5459685604393296,NA,48,Fish; live,03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
2005,DOM,0301,2.155733761445039,-1.450293902088051,NA,36,Fish; live,03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
2009,DOM,0301,1.8911333712686456,-1.5937040614003668,NA,49,Fish; live,03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
1995,DOM,0302,2.1185946017710102,-1.778960665011344,NA,47,Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304),03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
1996,DOM,0302,2.3125363296795447,-1.7032834158122647,NA,29,Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304),03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
1997,DOM,0302,2.649535081709368,-1.9461001375337177,NA,16,Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304),03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
1998,DOM,0302,2.575759750352101,-1.926005504437825,NA,17,Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304),03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
1999,DOM,0302,2.3872218130774745,-1.7578818599669963,NA,26,Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304),03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
2000,DOM,0302,2.441863487415229,-1.878889435551562,NA,20,Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304),03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
2001,DOM,0302,2.2785710872398393,-1.6876881916335205,NA,29,Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304),03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
2002,DOM,0302,2.4357506975133965,-1.8670490671568336,NA,21,Fish; fresh or chilled (excluding fish fillets and other fish meat of heading no. 0304),03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
